Id,Sexe,Âge,Revenu brut,Niveau de scolarité,Nombre d'enfants
1,H,39,63751,universitaire,4
2,F,24,28604,collégial,1
3,F,57,81379,universitaire,3
4,H,54,16641,secondaire,2
5,F,40,72865,collégial,3
6,H,68,69532,collégial,3
7,H,59,17735,secondaire,1
8,H,61,34369,universitaire,2
9,F,21,17206,secondaire,0
10,F,26,15195,collégial,1
11,H,53,54268,universitaire,4
12,F,65,63743,secondaire,3
13,F,70,84963,collégial,0
14,F,45,54040,universitaire,2
15,H,34,56388,collégial,1
16,F,27,74159,collégial,0
17,H,70,24819,collégial,2
